ID TAG1 TAG2 TAG3 TAG4 TAG5 TAG6
JnwT 56 14 12 58 22 21
1LQd 47 2 28 19 59 53
6YKN 41 38 49 34 43 18
evQL 38 48 33 1 22 33
4eb5 53 35 44 13 56 22
7azf 51 1 43 0 29 25
FPTu 22 17 27 31 38 17
7fbx 26 37 7 29 58 0
mFsO 47 29 48 1 7 36
YGsq 30 36 46 3 29 34
84tl 54 39 51 12 1 49
6x93 54 32 16 48 57 27
KQTf 36 23 18 26 48 3
0XHj 21 39 7 50 28 55
VNzE 49 32 51 15 13 43
BHi2 8 22 29 55 1 19
GPda 42 14 36 44 27 22
x3MB 19 15 18 45 42 4
6QMm 10 23 47 5 0 59
vYxn 31 46 37 48 11 21
De2a 40 14 32 18 0 25
jH2F 3 47 54 16 47 22
ZwDb 5 20 51 27 3 54
LJ4g 6 30 21 11 25 53
2QG7 17 6 34 51 23 34
TgCf 5 45 37 30 41 51
QItr 41 50 34 34 1 28
hgxX 19 6 4 46 29 28
8iuO 40 10 7 37 56 44
taqP 40 27 9 34 7 54
Diw4 0 54 36 28 46 26
6qVS 57 19 37 14 25 7
HkAn 8 3 50 42 2 39
wFLS 52 46 31 19 15 4
3X8m 49 37 8 47 7 27
pHlu 56 51 33 25 32 32
F8P5 46 46 14 26 46 17
OCAf 3 40 25 58 26 52
Tsb4 30 1 53 22 38 43
Umbg 49 15 30 33 27 53
QmY6 13 28 55 18 31 16
n2Bj 2 10 24 57 16 9
rV3x 39 39 34 40 1 20
aFJi 28 42 55 57 0 28
EcT8 17 15 34 44 16 29
i0nZ 45 10 2 17 39 52
96Q4 26 52 6 27 27 4
7nSM 26 26 23 52 39 16
5Xjk 19 56 32 25 34 11
Hh2b 23 28 27 53 45 21
tBfG 30 41 48 31 29 34
T6rb 33 57 1 39 27 58
4HXs 58 25 5 10 20 43
pCXd 27 25 55 41 12 59
9cnR 16 11 2 36 3 1
FdH3 46 46 36 55 6 36
7SDb 36 19 56 43 14 19
GTRP 14 11 1 4 24 42
6HMb 9 41 34 44 32 7
fJb3 13 58 27 50 16 49
9uHQ 15 32 10 50 6 13
efxC 25 1 21 39 16 53
eX4M 40 10 58 4 30 25
gmJI 52 49 25 30 42 31
MklI 55 1 13 26 40 50
3ZR5 46 14 51 51 30 27
7y0m 58 51 6 58 21 56
tloF 41 11 21 53 3 12
7qja 47 32 33 31 35 21
b4fu 23 17 25 20 44 59
rcVL 53 43 38 38 41 10
Dqgr 16 56 42 15 24 46
Yw96 5 37 35 43 23 21
fTZj 25 10 36 34 44 18
H6av 37 49 0 21 20 55
HZS5 9 40 25 23 55 24
XTtc 35 32 49 12 49 51
Z31O 6 47 37 49 16 6
razR 43 31 45 55 4 53
Gdvq 36 41 59 30 42 44
AEOg 25 36 52 35 42 44
AH67 50 34 26 17 12 59
Xgrt 27 32 23 35 35 57
DeKN 49 38 43 41 39 12
hRSY 5 4 53 0 47 48
Rnjs 53 22 58 47 26 45
GxRn 0 13 1 18 53 10
LbCQ 36 16 10 24 15 54
LrON 58 41 25 33 35 31
s9n3 37 54 3 33 45 58
x4Bj 41 41 40 23 29 57
T1z2 56 59 20 2 37 11
Pq5o 17 37 27 53 24 39
0AxN 31 53 2 9 56 23
Onyj 23 18 18 51 2 29
p3kQ 45 28 46 43 27 52
pDmT 36 52 14 9 38 17
Dme2 29 59 16 42 37 23
UuvP 16 42 49 30 35 0
MIJn 18 41 34 0 17 4
